id,sentence,term,gold_label,TD_LSTM,GCAE,ATAE_LSTM,MemNet,ASGCN,bert_pair,bert_sent,bert_pt,mams_capsnet
0:14_0,3D rendering slows it down considerably.,3D rendering,negative,positive,negative,negative,negative,negative,negative,negative,negative,negative
0:1_0,"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming.",word processing,neutral,positive,positive,positive,positive,positive,neutral,neutral,neutral,neutral
0:1_1,"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming.",web browsing,neutral,neutral,neutral,positive,neutral,positive,neutral,neutral,neutral,neutral
0:1_2,"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming.",programming,neutral,positive,positive,positive,positive,neutral,neutral,neutral,positive,neutral
0:1_3,"I'm using this computer for word processing, web browsing, some gaming, and I'm learning programming.",gaming,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
0:3_0,The Mini's body hasn't changed since late 2010- and for a good reason.,body,positive,positive,negative,negative,negative,positive,positive,positive,positive,positive
1002:1_0,It's light and easy to transport.,transport,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
1009:1_0,"I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.",key board,neutral,neutral,negative,negative,negative,negative,neutral,negative,negative,negative
1009:1_1,"I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.",wireless mouse,neutral,negative,negative,positive,negative,negative,neutral,negative,neutral,negative
1009:1_2,"I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.",works,positive,positive,positive,positive,negative,negative,positive,negative,positive,negative
1009:1_3,"I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.",pad,negative,negative,negative,neutral,negative,negative,negative,negative,negative,negative
101:1_0,"I wanted it for it's mobility and man, this little bad boy is very nice.",mobility,positive,neutral,positive,positive,negative,positive,positive,positive,positive,positive
