id,sentence,term,gold_label,TD_LSTM,GCAE,ATAE_LSTM,MemNet,ASGCN,bert_pair,bert_sent,bert_pt,mams_capsnet
11302355#533813#0_0,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",atmosphere,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11302355#533813#0_1,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",waitstaff,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11302355#533813#0_2,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",beer,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11302355#533813#0_3,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",food,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11302356#1455624#1_0,"The food is top notch, the service is attentive, and the atmosphere is great.",service,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11302356#1455624#1_1,"The food is top notch, the service is attentive, and the atmosphere is great.",atmosphere,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11302356#1455624#1_2,"The food is top notch, the service is attentive, and the atmosphere is great.",food,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11302357#835238#0_0,"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).",entree,neutral,negative,neutral,neutral,neutral,negative,negative,negative,neutral,negative
11302357#835238#0_1,"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).",waitress,negative,negative,negative,negative,negative,negative,negative,negative,negative,neutral
11302357#835238#1_0,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.",cost,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
11302357#835238#1_1,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.",service,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
11302357#835238#1_2,"The service was pretty poor all around, the food was well below average relative to the cost, and outside there is a crazy bum who harasses every customer who leaves the place.",food,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
11302357#835238#3_0,"Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.",dining experience,negative,negative,negative,neutral,neutral,neutral,negative,negative,negative,negative
11302357#835238#3_1,"Probably my worst dining experience in new york, and I'm a former waiter so I know what I'm talking about.",waiter,neutral,neutral,negative,negative,neutral,negative,neutral,negative,negative,neutral
11313290#1139539#1_0,"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone.",prices,negative,positive,negative,positive,neutral,positive,negative,positive,negative,negative
11313290#1139539#1_1,"The new menu has a few creative items,they were smart enough to keep some of the old favorites (but they raised the prices), the staff is friendly most of the time, but I must agree with the person that wrote about their favorite words: No, can't, sorry..., boy, they won't bend the rules for anyone.",new menu,positive,positive,positive,neutral,neutral,positive,positive,positive,positive,positive
11313316#1234433#1_0,I usually get one the Vietnamese Beef Noodle Soup.,Vietnamese Beef Noodle Soup,neutral,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral
11313316#1234433#2_0,Their duck here is also absolutely delicious.,duck,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313316#1234433#3_0,You can eat gourmet food at a fast food price.,food,positive,positive,positive,neutral,positive,positive,neutral,neutral,positive,neutral
11313316#1234433#3_1,You can eat gourmet food at a fast food price.,price,positive,positive,positive,positive,positive,positive,positive,neutral,positive,neutral
11313359#650269#4_0,At night the atmoshere changes turning into this hidden jewel that is waiting to be discovered.,atmoshere,positive,positive,positive,positive,neutral,negative,negative,negative,neutral,negative
11313359#650269#5_0,The boutique selection of wines covers a wide variety without being imposeing.,boutique selection of wines,neutral,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313392#560011#1_0,Pizzas were excellent in addition to appetizers and main courses.,main courses,positive,neutral,positive,positive,positive,positive,positive,positive,positive,neutral
11313392#560011#1_1,Pizzas were excellent in addition to appetizers and main courses.,appetizers,positive,neutral,positive,positive,positive,positive,positive,positive,positive,neutral
11313392#560011#1_2,Pizzas were excellent in addition to appetizers and main courses.,Pizzas,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313392#560011#2_0,"Definitely try the calamari, any pasta, or even the Sliced steak entree.",calamari,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313392#560011#2_1,"Definitely try the calamari, any pasta, or even the Sliced steak entree.",pasta,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313392#560011#2_2,"Definitely try the calamari, any pasta, or even the Sliced steak entree.",Sliced steak entree,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313431#524365#2_0,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",parking,positive,positive,positive,positive,positive,positive,positive,positive,negative,positive
11313431#524365#2_1,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",staff memebers,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313431#524365#3_0,"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",live entertainment,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313431#524365#3_1,"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",food,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313439#692431#0_0,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,portions,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313439#692431#0_1,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,price,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11313439#692431#0_2,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,sushi,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11349445#757796#1_0,the mushroom barley soup is amazing.,mushroom barley soup,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11349536#778388#0_0,Had dinner here on a Friday and the food was great.,dinner,neutral,neutral,positive,neutral,neutral,positive,neutral,positive,positive,neutral
11349536#778388#0_1,Had dinner here on a Friday and the food was great.,food,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
11349536#778388#2_0,After dinner I heard music playing and discovered that there is a lounge downstairs.,music,neutral,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
11349536#778388#2_1,After dinner I heard music playing and discovered that there is a lounge downstairs.,dinner,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
11349536#778388#2_2,After dinner I heard music playing and discovered that there is a lounge downstairs.,lounge,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
