id,sentence,term,gold_label,TD_LSTM,GCAE,ATAE_LSTM,MemNet,ASGCN,bert_pair,bert_sent,bert_pt,mams_capsnet
0_0,The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.,food,neutral,positive,positive,positive,positive,positive,positive,neutral,positive,positive
0_1,The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.,served,positive,positive,neutral,positive,positive,positive,positive,neutral,positive,positive
0_2,The food was served promptly but the meal wasn't rushed - we had plenty of time to enjoy the appetizers and our entrees as well as sit and chat while finishing up our drinks even after we paid.,appetizers,positive,positive,neutral,neutral,positive,positive,positive,neutral,positive,positive
100_0,"Although I didn't pay for the meal (and it's about $22 bucks a plate, way over my normal eating range), I have to say that it was better than any food I've ever had in little Italy, and there weren't any touristy elements to be found.",food,neutral,positive,neutral,neutral,negative,positive,positive,neutral,positive,positive
100_1,"Although I didn't pay for the meal (and it's about $22 bucks a plate, way over my normal eating range), I have to say that it was better than any food I've ever had in little Italy, and there weren't any touristy elements to be found.",range,negative,negative,negative,negative,negative,neutral,negative,neutral,negative,negative
101_0,"But servers, attentive if slightly unpolished, gladly direct inquisitors to menu strengths--like rum-flambeed dessert bananas foster--and allow leisurely enjoyment.",menu,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral,neutral
101_1,"But servers, attentive if slightly unpolished, gladly direct inquisitors to menu strengths--like rum-flambeed dessert bananas foster--and allow leisurely enjoyment.",servers,positive,positive,positive,positive,negative,positive,positive,positive,positive,positive
102_0,"I'm totally into the space-age vibe of this place, but I wish they had more tables to sit down at.",vibe,negative,negative,negative,negative,negative,positive,positive,positive,positive,positive
102_1,"I'm totally into the space-age vibe of this place, but I wish they had more tables to sit down at.",tables,positive,neutral,negative,neutral,neutral,neutral,positive,positive,neutral,neutral
103_0,Ask for a table closer to the bar than in back of the dining area; the drop ceiling the back compromises enjoying the soaring space of Guastavino's.,space,positive,positive,positive,negative,positive,positive,positive,neutral,positive,positive
103_1,Ask for a table closer to the bar than in back of the dining area; the drop ceiling the back compromises enjoying the soaring space of Guastavino's.,bar,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
103_2,Ask for a table closer to the bar than in back of the dining area; the drop ceiling the back compromises enjoying the soaring space of Guastavino's.,drop ceiling,neutral,neutral,positive,positive,positive,positive,neutral,neutral,neutral,negative
104_0,"When we got our bill the drinks were full priced and when we asked, our waitress said that there is no happy hour on the roof.",waitress,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
104_1,"When we got our bill the drinks were full priced and when we asked, our waitress said that there is no happy hour on the roof.",bill,neutral,neutral,neutral,neutral,negative,neutral,neutral,negative,neutral,neutral
104_2,"When we got our bill the drinks were full priced and when we asked, our waitress said that there is no happy hour on the roof.",drinks,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative,negative,neutral
105_0,"The hostess was condescending and the waiter was somewhat absent and unaccomodating (sure, we made a reservation to sit outside but when I asked to be moved indoors after I heard thunder he didn't even try to make it happen, giving me a blank stare and a shrug when I asked what we would do if it rained).",waiter,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
105_1,"The hostess was condescending and the waiter was somewhat absent and unaccomodating (sure, we made a reservation to sit outside but when I asked to be moved indoors after I heard thunder he didn't even try to make it happen, giving me a blank stare and a shrug when I asked what we would do if it rained).",reservation,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral,neutral
105_2,"The hostess was condescending and the waiter was somewhat absent and unaccomodating (sure, we made a reservation to sit outside but when I asked to be moved indoors after I heard thunder he didn't even try to make it happen, giving me a blank stare and a shrug when I asked what we would do if it rained).",hostess,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
106_0,The server was so busy the night we visited that she forgot to put in our food order.,food,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral,neutral
106_1,The server was so busy the night we visited that she forgot to put in our food order.,server,negative,negative,negative,negative,negative,negative,negative,negative,negative,negative
107_0,"The Food The versatile Austrian menu, fused with French and American, rewards both high and low-end appetites: rich, cheese-laden onion soup, grilled Gruyere and country ham sandwiches and big-bunned burgers are as satisfying as velvety liver terrine with kumquat-cranberry compote, speck and sausage charcuterie and inexpensive cheese plates.",French,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral
107_1,"The Food The versatile Austrian menu, fused with French and American, rewards both high and low-end appetites: rich, cheese-laden onion soup, grilled Gruyere and country ham sandwiches and big-bunned burgers are as satisfying as velvety liver terrine with kumquat-cranberry compote, speck and sausage charcuterie and inexpensive cheese plates.",onion soup,positive,neutral,neutral,neutral,neutral,positive,positive,neutral,positive,positive
